id,ticker,periodType,periodEnd,revenue,revenueSegments,revenueSegmentsByAxis
e1bef209388e407d86b434a67c6b7178,DD,ANNUAL,2017-12-31,62484000000.0000,"{""Non-core"": 958000000.0, ""Corporate"": 0.0, ""Electronics & Imaging"": 2713000000.0, ""Safety & Construction"": 2958000000.0, ""Nutrition & Biosciences"": 2580000000.0, ""Transportation & Industrial"": 2463000000.0}","{""segment"": {""Non-core"": 958000000.0, ""Corporate"": 0.0, ""Electronics & Imaging"": 2713000000.0, ""Safety & Construction"": 2958000000.0, ""Nutrition & Biosciences"": 2580000000.0, ""Transportation & Industrial"": 2463000000.0}, ""geography"": {""EMEA"": 18069000000.0, ""Rest of World"": 23205000000.0, ""United States"": 21210000000.0}}"
2091c680b4044c94944c1cec37df396b,FITB,QUARTERLY,2026-03-31,2972000000.0000,"{""Commercial Banking"": 0.0, ""Wealth And Asset Management"": 0.0, ""Consumer and Small Business Banking"": 146000000.0}","{""segment"": {""Commercial Banking"": 0.0, ""Wealth And Asset Management"": 0.0, ""Consumer and Small Business Banking"": 146000000.0}}"
0493e104ab0c4cc7bf92f6c143dfcd6e,MTB,QUARTERLY,2023-09-30,2641000000.0000,"{""Retail Bank"": 112000000.0, ""Commercial Bank"": 67000000.0, ""Institutional Services and Wealth Management"": 181000000.0}","{""product"": {""Other"": 14000000.0, ""Trust income"": 155000000.0, ""Brokerage services income"": 27000000.0, ""Service charges on deposit accounts"": 121000000.0, ""Merchant discount and credit card interchange fees"": 43000000.0}, ""segment"": {""Retail Bank"": 112000000.0, ""Commercial Bank"": 67000000.0, ""Institutional Services and Wealth Management"": 181000000.0}}"
2d7560a4c3a9423583324cce7f905e9d,MTB,ANNUAL,2023-12-31,9643000000.0000,"{""Retail Bank"": 444000000.0, ""Commercial Bank"": 257000000.0, ""Institutional Services and Wealth Management"": 783000000.0}","{""product"": {""Other"": 66000000.0, ""Trust income"": 680000000.0, ""Brokerage services income"": 102000000.0, ""Service charges on deposit accounts"": 475000000.0, ""Merchant discount and credit card interchange fees"": 161000000.0}, ""segment"": {""Retail Bank"": 444000000.0, ""Commercial Bank"": 257000000.0, ""Institutional Services and Wealth Management"": 783000000.0}}"
d0c175fad78a4355a9883caae1347b87,DD,QUARTERLY,2018-06-30,24245000000.0000,"{""Non-core"": 526000000.0, ""Corporate"": 0.0, ""Electronics & Imaging"": 921000000.0, ""Safety & Construction"": 1372000000.0, ""Nutrition & Biosciences"": 1621000000.0, ""Transportation & Industrial"": 1417000000.0}","{""segment"": {""Non-core"": 526000000.0, ""Corporate"": 0.0, ""Electronics & Imaging"": 921000000.0, ""Safety & Construction"": 1372000000.0, ""Nutrition & Biosciences"": 1621000000.0, ""Transportation & Industrial"": 1417000000.0}, ""geography"": {""EMEA 1"": 1492000000.0, ""Asia Pacific"": 2178000000.0, ""Latin America"": 330000000.0, ""U.S. & Canada"": 1857000000.0}}"
a22d713d394a4abfa80c2bfd17767920,MTB,QUARTERLY,2025-03-31,2560000000.0000,"{""Retail Bank"": 116000000.0, ""Commercial Bank"": 72000000.0, ""Institutional Services and Wealth Management"": 209000000.0}","{""product"": {""Other"": 18000000.0, ""Trust income"": 177000000.0, ""Brokerage services income"": 32000000.0, ""Service charges on deposit accounts"": 133000000.0, ""Merchant discount and credit card interchange fees"": 37000000.0}, ""segment"": {""Retail Bank"": 116000000.0, ""Commercial Bank"": 72000000.0, ""Institutional Services and Wealth Management"": 209000000.0}}"
4fc8d32b1c0a4c4fa8dfae8b39b6229f,MTB,QUARTERLY,2025-09-30,2680000000.0000,"{""Retail Bank"": 130000000.0, ""Commercial Bank"": 78000000.0, ""Institutional Services and Wealth Management"": 215000000.0}","{""product"": {""Other"": 20000000.0, ""Trust income"": 181000000.0, ""Brokerage services income"": 34000000.0, ""Service charges on deposit accounts"": 141000000.0, ""Merchant discount and credit card interchange fees"": 47000000.0}, ""segment"": {""Retail Bank"": 130000000.0, ""Commercial Bank"": 78000000.0, ""Institutional Services and Wealth Management"": 215000000.0}}"
49618ab0d86f40798d95d542dfcd5eb0,FITB,QUARTERLY,2018-06-30,1269000000.0000,"{""Branch Banking"": 67000000.0, ""Consumer Lending"": 0.0, ""Commercial Banking"": 70000000.0, ""Corporate And Other"": 0.0, ""Investment Advisors"": 0.0}","{""segment"": {""Branch Banking"": 67000000.0, ""Consumer Lending"": 0.0, ""Commercial Banking"": 70000000.0, ""Corporate And Other"": 0.0, ""Investment Advisors"": 0.0}}"
c9f2873f849c498c9a2f773acbc7c245,MET,ANNUAL,2023-12-31,66905000000.0000,"{""ASO contracts"": 259000000.0, ""Prepaid legal plans"": 516000000.0, ""Vision fee for service arrangements"": 598000000.0, ""Recordkeeping and administrative services (2)"": 150000000.0, ""Institutional Client asset management fees (1)"": 316000000.0, ""Other revenue from service contracts from customers"": 390000000.0}","{""product"": {""ASO contracts"": 259000000.0, ""Prepaid legal plans"": 516000000.0, ""Vision fee for service arrangements"": 598000000.0, ""Recordkeeping and administrative services (2)"": 150000000.0, ""Institutional Client asset management fees (1)"": 316000000.0, ""Other revenue from service contracts from customers"": 390000000.0}}"
1674976a6b1b4076a637774f35fe930f,MET,QUARTERLY,2024-09-30,18440000000.0000,"{""Prepaid legal plans"": 144000000.0, ""Asset management fees"": 99000000.0, ""Vision fee for service arrangements"": 126000000.0, ""Administrative services-only contracts"": 69000000.0, ""Recordkeeping and administrative services (1)"": 38000000.0, ""Other revenue from service contracts from customers"": 78000000.0}","{""product"": {""Prepaid legal plans"": 144000000.0, ""Asset management fees"": 99000000.0, ""Vision fee for service arrangements"": 126000000.0, ""Administrative services-only contracts"": 69000000.0, ""Recordkeeping and administrative services (1)"": 38000000.0, ""Other revenue from service contracts from customers"": 78000000.0}}"
