id,totalDebt
da8a00a92a45403197ac8b02eef9a024,2499000000.0000
c405dde872f14dd189b4a4f802eeb833,
d23a5432aea04803940ccc2b7ac48811,
d3f2433997364d96ab3e32efd1d8560e,10186700000.0000
d712694ea1f343f1b8dacd7dd24b22e9,140000000.0000
086094a2d84e48e2be639ab1c2a18a5c,5342000000.0000
fc12546384e74138a1dee47b2c011be6,11801000000.0000
d81afdf5fc6f4d44a1ecaaac6f445f5f,30092000000.0000
0667f9155637453b9b04b9392c16fc65,7213218000.0000
1d9d393a5d45467a93b562d97f194657,2932000000.0000
d42072ba05014f8a9e6461433660688c,3421000000.0000
8051cce87eaa4c8487c9d7dd48532e4a,114483000000.0000
28719ea694084b9d86ec8ba5550e680b,42166000000.0000
f216f585e16e45d5a8ee6cf360d75f55,1962000000.0000
0333987c1319406bb0f870c30f87d408,
72a43055e9f246268b33ac32338ac193,71508000000.0000
521285d3aa334568be4743b4aa5a4c6f,8271000000.0000
d141606b834b4996a73e4000d758d75d,10061882000.0000
e399137cfd0b47568bd7b3bee41b9645,17000000.0000
ee4d9844345143c38ce5aec0c2af4914,114730000000.0000
b4e29d74d50a4b509be69065955e3b92,36739000000.0000
9dd859bcb562449d8bb10e9904f6d572,61673000000.0000
76ce4e8af4004441bd9115e33d9aba51,6531000000.0000
993071b7af144493ad76962f5ffe3c2c,61673000000.0000
7ded3471bd834db8b21609ae0f0d55ac,37195000000.0000
63000f049de243138745a502aa4342ad,33988000000.0000
e7ca2166e35d4c928a2ccb53cf86d7eb,1579246000.0000
890b458b7a28471ca3f9146e048f1aac,13545000000.0000
30cf4bdbf00b44a2aa62db0907a45a9d,4467000000.0000
09faf4e958734d508dc959f799ab1744,108047000000.0000
26ee3b701a344378b7c69d6aea67c62f,7305000000.0000
4d9f79b975914559accd63d413e18985,6751000000.0000
2b3d194e2eb84495a975e3faa4a9405c,9752000000.0000
7cec4fb6c4904645bf6214c13d1b7159,9088000000.0000
4317c03d3798430d92807cf69a3a8be6,9784000000.0000
98138141ffcd4fe4ac09a1d59f7308c5,7692000000.0000
39bf1415a02445d18fc9af39607c5e5c,
6a12ce9d400a4f01aeff4e4d7436c927,5966900000.0000
68fbd2b3b9664e3a9739aa941e7386f1,4365000000.0000
99ac2573b4ae422c874e8fda3a20710c,3342300000.0000
2b5bf1bfab1a4786b43d4073e956ad9c,52331000000.0000
07dd53cde91f4ea49765c55cd8c835d3,108292000000.0000
0003550d08fb4f8e8918a6d2c9d6facc,9701000000.0000
c3dcb75e43cf4010acfffc30aaac5ddd,4430686000.0000
a20b274ec56b4b1191168cefd946ffa8,2140600000.0000
5b961f348242465aa0779340f15a0ce6,5164000000.0000
5a46f65f742641038bcb842dee866bbb,4595000000.0000
f4d3a04c7d624ff29ea38a96d29f48d5,4502057000.0000
8401c4d01ef04959a7571f0e43a60889,268000000.0000
fa9bd5887ab5416782570487b28ec3ab,124719000000.0000
80c933db84524b45937021e6fa0a8345,122798000000.0000
