id,minorityInterest
4568123ce8d84ac2919f2a2b8c466bd2,
4a6ccd126a2f4c25938484487dc816a8,
c95007ea968a4761b951530dc834b575,
b31d331e53db40eba59a903bc4dffbdb,
8a67e03b9cdc4f33b5cef61c2ce8f150,
b4b8e4bd225b4eed9c324929ae9bca88,
d5e53ec905614f489a797121d98b6758,
ef17b7b3441242a2a560e83839a92e28,
bb221f5159c846d7ba225152e6c67d37,
ee74071401ac4deb8d54ced538edf46f,
fca555b2481e4bc592477018aa01bb9b,
ede633ac6bd344b6b9de12cbf54332a4,55488000.0000
fbdd6434ff3341c1b871e36e1166b16a,
062d84175bc448b8a925caceab5a987c,
a3368808d4fb43beb8f48127444a0980,179000000.0000
fe12a7696c324ddfb300a9656ea4aaf4,219000000.0000
a406fd3fa0da4ac9b3c891c52fa33900,
23603da209864ac1a07bbe8b1cabc9c4,
7c63090f373a4784b9d4942a43840ed1,55447000.0000
380916cdfb4d45a88a690cb3ce1dc87a,
2318d71405b94a49856c630c9ecb66e9,
34f744f130b44a3fbd0d928ebd4d887b,46306000.0000
140c7fce1b944cf4bd25f9fb8b4d81cd,
baacb7f6687841098541dd731b367417,
5e8e9b47be8e4298bdbf8e3cee87c9b6,58425000.0000
c54a5d5357904dbe8719a47010488135,
9aa6d62c40dc48908afac1d71c741b65,
b5dadcbdf08141d4a53f6f9525e64fee,
dc5c0fbb0e474cf082aee9a115cca144,
e5876dee91ce4431b5365e01248f19df,
ff194c715d4d4c72953cbf2fafba776a,194000000.0000
194a4a34432549ea8dac622373ddadf8,
27782417762a4c55af8a5539eea51d85,
eb17ff97018c41bba8d79b003de4e55a,
654d5131a8c745b6bb21514d1624e6ff,
13f203bb26fd4e4780a976e094267ea1,46093000.0000
793f4dae53d44d86a06285898c9d3f4b,
c8fcccb6d2254473bde1a302fee47518,
baddeee3f3324f0489aa063402b4b144,
7652648026f34ac59109da816c0f9f5e,
79e551b86ff9443985b39bf851f79428,
0c2ef7414fb74633a42b3952873bae0f,
9a201e80e3af4727b893f4d16d723f45,
0cc2574008c5402ba521beb8275d9c29,38100000.0000
7ecf770488334654a29a8db9c99c1199,
2cb9aa96ff114eec809294463c57310d,
951503ce85604cc081b636cdde2faa52,
e5eba1b69e5a4fc9bd140bed77098b37,
359eb80c0e4a40ca936a4b67e8ad9c1d,
eae2e0be80b949c7830dce8f8bc8adcb,
c4a29929d98b45c987b5927b191be866,402198000.0000
e6ad92419c134e0fa739bc149ad0cb8c,
50e2841bbf8d4783a33049ee0f45a3c5,
8c113dcf85d849dbb6807ccf064a49a2,17000000.0000
3c224b9a453443d8800f278185f99e36,
db342a5742034b2b913c06d0760b283c,1073000000.0000
41867c5301184f5aafaa1b4ea7f7668f,860000000.0000
7d630008c11d43db8a94486b8e6aa40f,
78a32b04d90b420b91fb48d4ce3a241b,
9565156f6265454aaac0523559551aaa,
a27db08a322f424aba8fdc40cf17c448,
1e99aeb5b6764db9b3808b3f0cf3a928,
8c62aa29f04f433fa8933301dcf39a5c,
1d3db1e7e52b46a09377509caef2e669,
0b4beffcf3694ad5b4b63bef8918a0fb,
559237ef11314bf1a0b6861db9e19863,
573c29ae442c4aedbf6dcc30a39e37c2,881000000.0000
013acf8c9dc1472281d8a4ed68ccf91c,973000000.0000
7b74066dfda44bc2960c8243d71db110,
9742d2a6da3d47d491e6aa69bab24668,
bed1817d6c0e4fccb73e108d8d28e12f,
cd973e5185cd483db3ee048f521dc361,
f22fdc94f978433aa19855243685eec4,
1a85de4f46534b6aab45cd5098dc6b8e,
caea14ee323147f1a980b5aad6af3e12,
e011795b2f5b417a8637007ab9e5b015,
ba8aeb5793424eedac750f065b439dfe,
8fc515f3c57d46abb656b64451e9885f,
3afbe93ed92f46df97320ba453d8b86a,
65c582bcedc14e4d849d9d80297fa1e6,
25728ac3d32748f39a03b92570100936,
f3f3b28c0abf4e9faa03098c1f0416db,649000000.0000
9229c06dfbc04a309ce120b1c11ef967,75748000.0000
8f1dabbb87ae42f7b24707eb8f2ae1e2,2820000000.0000
c56a92e7357640948ec609e6b553787c,779368000.0000
357b8cda23544421878118c9aba3e835,1254000000.0000
